Actual,Predicted,Residual,Absolute Error
0.013340434057626065,0.013340461570585285,-2.7512959219905264e-08,2.7512959219905264e-08
0.0133146679589865,0.013317537461656015,-2.8695026695144815e-06,2.8695026695144815e-06
0.013333399567077343,0.0133336233977375,-2.238306601575618e-07,2.238306601575618e-07
0.013340039476386794,0.013340133010021748,-9.353363495355482e-08,9.353363495355482e-08
0.013305463138906142,0.013306642936030934,-1.1797971247919786e-06,1.1797971247919786e-06
0.01333385271609544,0.013333776059834448,7.665626099162548e-08,7.665626099162548e-08
0.01332395940071219,0.013323721130742084,2.3826997010666096e-07,2.3826997010666096e-07
0.01331221897436529,0.013312015991336525,2.0298302876552154e-07,2.0298302876552154e-07
0.01332600172979823,0.013326495022072608,-4.932922743790258e-07,4.932922743790258e-07
0.013334143241882214,0.013334086895586461,5.6346295752504605e-08,5.6346295752504605e-08
0.013316642705085388,0.013319014053391871,-2.3713483064836255e-06,2.3713483064836255e-06
0.013322480678795394,0.01332235633092904,1.2434786635442951e-07,1.2434786635442951e-07
0.013318016683627375,0.013318557125399167,-5.404417717912863e-07,5.404417717912863e-07
0.013335505308628716,0.013335651385870805,-1.4607724208894057e-07,1.4607724208894057e-07
0.013321685811983864,0.013319014053391871,2.671758591992271e-06,2.671758591992271e-06
0.01331326807862033,0.013310184333543687,3.0837450766436902e-06,3.0837450766436902e-06
0.01330799082096973,0.013307795348730174,1.9547223955619641e-07,1.9547223955619641e-07
0.013325115718875537,0.01332485287920149,2.628396740481792e-07,2.628396740481792e-07
0.01330711864197257,0.013306918603316722,2.0003865584816705e-07,2.0003865584816705e-07
0.013332618492430703,0.01333257192354431,4.656888639292811e-08,4.656888639292811e-08
0.013309259607509184,0.013307795348730174,1.4642587790100053e-06,1.4642587790100053e-06
0.013173866094778915,0.013191043751653505,-1.717765687458961e-05,1.717765687458961e-05
0.013335568004793663,0.013335651385870805,-8.338107714174481e-08,8.338107714174481e-08
0.01333362940579765,0.0133336233977375,6.0080601500811515e-09,6.0080601500811515e-09
0.013339795922650314,0.013339988261152695,-1.9233850238192796e-07,1.9233850238192796e-07
0.013340686129568721,0.013340664876441944,2.1253126777573406e-08,2.1253126777573406e-08
0.013316513856533835,0.013316943503521613,-4.2964698777729626e-07,4.2964698777729626e-07
0.013314902893772795,0.013314548245113562,3.546486592332504e-07,3.546486592332504e-07
0.013315902285552125,0.013317537461656015,-1.635176103889982e-06,1.635176103889982e-06
0.013325143362624022,0.013325585528632848,-4.4216600882628077e-07,4.4216600882628077e-07
0.013312479329691772,0.013311948024166586,5.313055251865428e-07,5.313055251865428e-07
0.013314455310640473,0.013314610687437018,-1.5537679654530068e-07,1.5537679654530068e-07
0.013309739342092305,0.013307795348730174,1.9439933621311772e-06,1.9439933621311772e-06
0.01332037409235675,0.01331994225560843,4.3183674832032726e-07,4.3183674832032726e-07
0.013307876484276074,0.013307136170635921,7.403136401528537e-07,7.403136401528537e-07
0.01330725700030024,0.013307795348730174,-5.38348429933791e-07,5.38348429933791e-07
0.013323442238728918,0.013323128047199942,3.1419152897622926e-07,3.1419152897622926e-07
0.013316893048059998,0.013316943503521613,-5.045546161430714e-08,5.045546161430714e-08
0.01332324068522894,0.013323232276907356,8.408321584135736e-09,8.408321584135736e-09
0.013314246878083925,0.013314617544071393,-3.7066598746783586e-07,3.7066598746783586e-07
0.013332264653797976,0.01333256895437656,-3.0430057858417403e-07,3.0430057858417403e-07
0.013311490038213124,0.01331155129456286,-6.125634973569438e-08,6.125634973569438e-08
0.013313417380933952,0.01331458385136765,-1.1664704336975668e-06,1.1664704336975668e-06
0.01331557939863075,0.013315084218973497,4.951796572522787e-07,4.951796572522787e-07
0.01330815186683099,0.013307689391583508,4.624752474816779e-07,4.624752474816779e-07
0.013323467915312323,0.013323463656542855,4.258769467288537e-09,4.258769467288537e-09
0.013307628081765013,0.013307795348730174,-1.6726696516061734e-07,1.6726696516061734e-07
0.013332416429394985,0.013332609700144932,-1.9327074994753002e-07,1.9327074994753002e-07
0.013307851086121938,0.013308035098576818,-1.8401245487943696e-07,1.8401245487943696e-07
0.013340094908633261,0.01334002988371735,6.502491591009463e-08,6.502491591009463e-08
0.013314964224027953,0.013310788388130643,4.175835897310062e-06,4.175835897310062e-06
0.013328240484929053,0.013328701568728715,-4.610837996618655e-07,4.610837996618655e-07
0.013330165082363241,0.013330585397929029,-4.203155657880181e-07,4.203155657880181e-07
0.013313874229274174,0.01331458385136765,-7.096220934754705e-07,7.096220934754705e-07
