date_month,actual,prediction,error
1,27679,27679,0
2,323393,323393,0
3,26968,26968,0
4,15477,15477,0
5,23518,23518,0
6,26542,26542,0
7,17565,17565,0
8,30233,30233,0
9,30288,30288,0
10,31313,31313,0
11,28966,28966,0
12,28024,28024,0
