district,district_record_count,district_rank,performance_score
Bardez,1,667,0.02
Hnahthial,1,667,0.02
Beawar,1,667,0.02
Salumbar,1,667,0.02
Bagpat,1,667,0.02
Ranga Reddy,1,667,0.02
Visakhapatanam,1,667,0.02
Balotra,1,667,0.02
Shopian,1,667,0.02
Kendrapara *,1,667,0.02
