dataset,records,features,missing_values,duplicate_rows,numeric_features,categorical_features,states,districts
enrolment,609966,593,2278,0,587,6,48,964
demographic,1235917,545,2090,0,539,6,57,960
biometric,1521973,545,2090,0,539,6,49,949
