Actual,Predicted,Residual,Absolute Error
0.012948083913456103,0.012948194436972916,-1.105235168125801e-07,1.105235168125801e-07
0.012949650849026089,0.012949689938777003,-3.908975091358735e-08,3.908975091358735e-08
0.01295002879297355,0.012949761948703776,2.668442697743856e-07,2.668442697743856e-07
0.012950071149484247,0.012949540259006485,5.308904777612949e-07,5.308904777612949e-07
0.012947117005588215,0.012946717972623235,3.9903296497958984e-07,3.9903296497958984e-07
0.012948428321244591,0.012948194436972916,2.3388427167550518e-07,2.3388427167550518e-07
0.012950176294646188,0.0129493907916644,7.85502981787839e-07,7.85502981787839e-07
0.012945069572591504,0.012944878684458006,1.9088813349790734e-07,1.9088813349790734e-07
0.012937636111495345,0.01293811266091898,-4.7654942363431485e-07,4.7654942363431485e-07
0.012950206287196042,0.012949960274988681,2.4601220736074347e-07,2.4601220736074347e-07
0.012948845144943542,0.012948194436972916,6.50707970626177e-07,6.50707970626177e-07
0.012947152770624857,0.012946717972623235,4.3479800162192495e-07,4.3479800162192495e-07
0.012948115199037592,0.012948173675226613,-5.847618902120322e-08,5.847618902120322e-08
0.012950386800765833,0.012950458242924243,-7.144215840963752e-08,7.144215840963752e-08
0.012948336186236729,0.012948289379849164,4.6806387564435337e-08,4.6806387564435337e-08
0.012937394236304061,0.012938213057311337,-8.188210072757052e-07,8.188210072757052e-07
0.012948279108375623,0.012948194436972916,8.467140270689011e-08,8.467140270689011e-08
0.012938000397442431,0.012938213057311337,-2.1265986890547928e-07,2.1265986890547928e-07
0.01294983623954881,0.012950277010855459,-4.407713066478802e-07,4.407713066478802e-07
0.012924272385426221,0.01292582006377555,-1.5476783493291457e-06,1.5476783493291457e-06
0.012948369084501385,0.012948188154570934,1.8092993045101813e-07,1.8092993045101813e-07
0.01294804408838484,0.012948194436972916,-1.503485880759159e-07,1.503485880759159e-07
0.012948735189508665,0.012948289379849164,4.4580965950086204e-07,4.4580965950086204e-07
0.012952174087401454,0.01295168831666468,4.857707367744712e-07,4.857707367744712e-07
0.01294973049596345,0.012949689165338394,4.1330625056082426e-08,4.1330625056082426e-08
0.012945088757360576,0.012944311468309986,7.772890505894359e-07,7.772890505894359e-07
0.012947747724705838,0.012948194436972916,-4.4671226707808376e-07,4.4671226707808376e-07
0.012949142281419787,0.012948594760638157,5.475207816296734e-07,5.475207816296734e-07
0.012938473720963002,0.012938213057311337,2.6066365166506344e-07,2.6066365166506344e-07
0.01294781866731416,0.012948173675226613,-3.5500791245243746e-07,3.5500791245243746e-07
0.012948018006407285,0.012948194436972916,-1.7643056563106108e-07,1.7643056563106108e-07
0.0129393730475087,0.012938214564836207,1.158482672493355e-06,1.158482672493355e-06
0.012948677201367637,0.012948614407097736,6.279426990017656e-08,6.279426990017656e-08
0.012948456560725321,0.012948188154570934,2.6840615438734894e-07,2.6840615438734894e-07
0.012949370629165255,0.012949001674636784,3.6895452847074406e-07,3.6895452847074406e-07
0.01293541705316743,0.012936164803340986,-7.47750173555814e-07,7.47750173555814e-07
0.012936766768010881,0.012936164803340986,6.019646698954273e-07,6.019646698954273e-07
0.012936247788331919,0.012937175213281565,-9.274249496461773e-07,9.274249496461773e-07
0.012948153658430136,0.012948173675226613,-2.0016796477284604e-08,2.0016796477284604e-08
0.012936360977480148,0.012930846173438476,5.51480404167165e-06,5.51480404167165e-06
0.012946900298780107,0.012946717972623235,1.823261568719564e-07,1.823261568719564e-07
0.0129389825397237,0.012938213057311337,7.694824123629512e-07,7.694824123629512e-07
0.012936562828611758,0.012937175213281565,-6.123846698069535e-07,6.123846698069535e-07
0.01294845008107054,0.012947775925537657,6.741555328825671e-07,6.741555328825671e-07
0.012929427460233008,0.012929055020400766,3.724398322420275e-07,3.724398322420275e-07
0.012940191497492657,0.012939935146205643,2.563512870139284e-07,2.563512870139284e-07
0.012949725591316663,0.012949818647952282,-9.305663561942623e-08,9.305663561942623e-08
0.012947962108740179,0.012948711658489655,-7.495497494763859e-07,7.495497494763859e-07
0.012936611365900052,0.012937175213281565,-5.638473815124806e-07,5.638473815124806e-07
0.012932545519458912,0.012934218724192585,-1.6732047336733696e-06,1.6732047336733696e-06
0.012953955687379065,0.012952590740736293,1.364946642771342e-06,1.364946642771342e-06
0.012937391640402534,0.01293811266091898,-7.21020516444848e-07,7.21020516444848e-07
0.012938422372698202,0.012937277117198793,1.1452554994090952e-06,1.1452554994090952e-06
0.012950004736799947,0.012950009250985788,-4.514185841103524e-09,4.514185841103524e-09
0.012946543223149518,0.01294662852144006,-8.529829054193527e-08,8.529829054193527e-08
0.01294866965492948,0.012948194436972916,4.752179565640363e-07,4.752179565640363e-07
0.01294803151684585,0.012948173675226613,-1.4215838076321596e-07,1.4215838076321596e-07
0.012950853919962847,0.012950920728710662,-6.680874781520019e-08,6.680874781520019e-08
0.012947641481663377,0.012948194436972916,-5.529553095389578e-07,5.529553095389578e-07
0.012949457549348533,0.01294945499903028,2.550318253455308e-09,2.550318253455308e-09
0.012948604929952817,0.012948194436972916,4.104929799009921e-07,4.104929799009921e-07
0.012936598193545474,0.012936767216130914,-1.6902258543997906e-07,1.6902258543997906e-07
0.012947710005642345,0.012948173675226613,-4.6366958426739824e-07,4.6366958426739824e-07
0.012945638171617977,0.012945485545936816,1.5262568116118647e-07,1.5262568116118647e-07
0.012949115159673617,0.012949452107794815,-3.3694812119795803e-07,3.3694812119795803e-07
0.012954613646400383,0.012954706013823501,-9.236742311811985e-08,9.236742311811985e-08
0.012947650868614964,0.012948194436972916,-5.435683579513989e-07,5.435683579513989e-07
0.012950631438249026,0.012951587679044666,-9.562407956402452e-07,9.562407956402452e-07
0.01293210765157916,0.012930846173438476,1.261478140683961e-06,1.261478140683961e-06
0.012944071605094006,0.01294348695801928,5.846470747250532e-07,5.846470747250532e-07
0.012949717320039624,0.012949825700295075,-1.0838025545079066e-07,1.0838025545079066e-07
0.012950740937364954,0.012949596237490067,1.144699874887009e-06,1.144699874887009e-06
0.012947978720867235,0.012947946976614062,3.174425317227503e-08,3.174425317227503e-08
0.012947713706566194,0.012948188154570934,-4.7444800473951665e-07,4.7444800473951665e-07
0.012935984419666386,0.01292582006377555,1.0164355890835905e-05,1.0164355890835905e-05
0.012949282956775427,0.012948711658489655,5.712982857723758e-07,5.712982857723758e-07
0.012941508130170972,0.012941819692222982,-3.1156205201020304e-07,3.1156205201020304e-07
0.012938177313394167,0.012939840689616101,-1.6633762219345205e-06,1.6633762219345205e-06
0.012930767096630399,0.012931239971316798,-4.728746863993244e-07,4.728746863993244e-07
0.012948830670899835,0.012948711658489655,1.1901241018033581e-07,1.1901241018033581e-07
0.01293635622756152,0.01293811266091898,-1.7564333574596191e-06,1.7564333574596191e-06
0.012922839512310042,0.012929055020400766,-6.215508090724395e-06,6.215508090724395e-06
0.012936675521755816,0.012938214564836207,-1.5390430803917388e-06,1.5390430803917388e-06
0.012919176411482982,0.012916827008056459,2.3494034265235386e-06,2.3494034265235386e-06
0.012950659163693671,0.012950462722158093,1.9644153557811517e-07,1.9644153557811517e-07
0.012940729808962775,0.012941228390434201,-4.98581471426382e-07,4.98581471426382e-07
0.012948152414938331,0.012948711658489655,-5.592435513238764e-07,5.592435513238764e-07
0.012936047404919156,0.012936164803340986,-1.1739842182938165e-07,1.1739842182938165e-07
0.012948020910966175,0.012948173675226613,-1.5276426043771274e-07,1.5276426043771274e-07
0.012935580968670845,0.012937175213281565,-1.594244610719428e-06,1.594244610719428e-06
0.01295007006122221,0.012950267675117033,-1.976138948225209e-07,1.976138948225209e-07
0.012937512211197095,0.012937914561578693,-4.023503815987761e-07,4.023503815987761e-07
0.01294842962546917,0.012948173675226613,2.559502425576038e-07,2.559502425576038e-07
0.012937081453572944,0.01293811266091898,-1.0312073460347349e-06,1.0312073460347349e-06
0.012948825268126173,0.012948711658489655,1.1360963651785294e-07,1.1360963651785294e-07
